batsman_id,batsman_name,bowler_id,bowler_name,comm_text,dismissal_type,inns,is_dismissal,match,over_ball,runs,series
625371,Hardik Pandya,47492,Dale Steyn,"141 kph, good length outside off, carved off the open face through point for one.",,2.0,False,1122276,58.1,1,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"good length around off, 137 kph, comes back in ever so slightly, blocked",,2.0,False,1122276,58.2,0,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"141 kph, on a length around off, defended nicely",,2.0,False,1122276,58.3,0,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"lovely timing. 141 kph outside off, just caressed through cover for four. Lets the ball come to him before slicing it away.",,2.0,False,1122276,58.4,4,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"136 kph, short and wide, smashed away to deep point for one",,2.0,False,1122276,58.5,1,18065
625371,Hardik Pandya,47492,Dale Steyn,"how's that? 141 kph, back of a length delivery outside off, climbs steeply on Pandya. Did he get some glove on it through to de Kock? There is an appeal, but SA aren't sure so they don't take it",,2.0,False,1122276,58.6,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"flat outside off, defended",,2.0,False,1122276,59.1,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"85 kph, nicely bowled, flat and straight. Blocked",,2.0,False,1122276,59.2,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"on the pads slightly, on middle and leg, nudged to midwicket",,2.0,False,1122276,59.3,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"full and wide outside off, driven through cover for a couple. Nice batting",,2.0,False,1122276,59.4,2,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"just past silly point. Flat outside off, Bhuvneshwar defends in front of the fielder",,2.0,False,1122276,59.5,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"flat and straight, 85 kph, worked into the leg side",,2.0,False,1122276,59.6,0,18065
625371,Hardik Pandya,47492,Dale Steyn,"on the pads, Pandya walks across and flicks the ball into the gap at midwicket for two more",,2.0,False,1122276,60.1,2,18065
625371,Hardik Pandya,47492,Dale Steyn,"full delivery outside off, pushed to mid-off for a run. Maybe time for SA to try and aim short deliveries at his ribs?",,2.0,False,1122276,60.2,1,18065
326016,Bhuvneshwar Kumar,47492,Dale Steyn,"good length delivery outside off, climbs sharply and beats the bat",,2.0,False,1122276,60.3,0,18065
326016,Bhuvneshwar Kumar,46945,Vernon Philander,"a thick outside edge off Philander. Full outside off, sliced away. 101 runs now the deficit",,2.0,False,1122276,60.4,2,18065
326016,Bhuvneshwar Kumar,46945,Vernon Philander,"good length around off, inside-edged towards square leg",,2.0,False,1122276,60.5,0,18065
326016,Bhuvneshwar Kumar,46945,Vernon Philander,"full and wide, left alone. And that will be tea on day 2.",,2.0,False,1122276,60.6,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"some flight outside off, driven towards du Plessis at cover, who dives away to his right",,2.0,False,1122276,61.1,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"flat outside off, defended",,2.0,False,1122276,61.2,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"78 kph, quick around off, driven to Faf at cover again",,2.0,False,1122276,61.3,0,18065
625371,Hardik Pandya,267724,Keshav Maharaj,"drifts on the pads, worked to deep square leg for one",,2.0,False,1122276,61.4,1,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"Maharaj has been a tad too full, outside off, driven to mid-off",,2.0,False,1122276,61.5,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"better line but still too full, easily defended",,2.0,False,1122276,61.6,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"back of a length outside off, 141 kph, beaten on the outside edge",,2.0,False,1122276,62.1,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"short and well down leg, 140 ks, Pandya gets underneath. This tactic should get SA more control, and test Pandya's patience",,2.0,False,1122276,62.2,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"back of a length down leg, aimed at the ribs, nudged to square leg. Looked awkward",,2.0,False,1122276,62.3,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"gets right across, exposing his stumps, anticipating the pull. He misses the pull, goes over the bat",,2.0,False,1122276,62.4,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"another short delivery down leg, 135 kph, Pandya gets underneath",,2.0,False,1122276,62.5,0,18065
625371,Hardik Pandya,46538,Morne Morkel,"short delivery outside off, defended down",,2.0,False,1122276,62.6,0,18065
326016,Bhuvneshwar Kumar,267724,Keshav Maharaj,"flight outside off, driven to mid-off. Still too full, too much flight",,2.0,False,1122276,63.1,0,18065
